Country,City,alt_name_or_state,population,lat,long
Japan,Sapporo,,1952356,43.075,141.34
Romania,Bucuresti,,1944226,44.4334,26.0999
China,Linyi,,1938510,35.08,118.33
China,Wenzhou,,1915548,28.02,120.6501
Cameroon,Douala,,1907479,4.0604,9.71
Austria,Wien,,1888776,48.2,16.3666
Pakistan,Multan,,1871843,30.2,71.455
China,Puning,,1856402,23.309006,116.159647
China,Nanchang,,1844253,28.68,115.88
Nigeria,Ibadan,,1835300,7.38,3.93
Germany,Hamburg,,1830584,53.55,10
Kazakhstan,Almaty,,1828324.5,43.325,76.915
Malaysia,Kuala Lumpur,,1824323,3.1667,101.7
Cameroon,Yaounde,,1817524,3.8667,11.5167
Indonesia,Tangerang,,1798601,-6.1784,106.6452
Brazil,Manaus,,1792881,-3.1,-60
Canada,Montréal,,1784420,45.5,-73.5833
Philippines,Manila,,1780148,14.6042,120.9822
Hungary,Budapest,,1777921,47.5,19.0833
China,Nanchong,,1771920,30.7804,106.13
Jordan,Irbid,,1770158,32.55,35.85
China,Nanning,,1766701,22.82,108.32
Poland,Warszawa,,1754511,52.25,21
China,Urumqi,,1753298,43.805,87.575
Brazil,Curitiba,,1751907,-25.42,-49.32
Zambia,Lusaka,,1747152,-15.4166,28.2833
Ghana,Kumasi,,1730249,6.69,-1.63
China,Yantai,,1724404,37.5304,121.4
China,Fuyang,Zhejiang,1719057,30.0533,119.9519
China,Tangshan,,1711311,39.6243,118.1944
Yemen,Sanaa,,1707586,15.3547,44.2066
Venezuela (Bolivarian Republic of),Maracaibo,,1706547,10.73,-71.66
New Zealand,Auckland,,1695900,-36.8481,174.763
China,Shunde,,1694152,22.85,113.1868
China,Xuzhou,,1679626,34.28,117.18
China,Baotou,,1671181,40.6522,109.822
Guinea,Conakry,,1659785,9.5315,-13.6802
China,Hefei,,1659075,31.85,117.28
Ghana,Accra,,1658937,5.55,-0.2167
Mexico,Ecatepec,de Morelos,1655015,19.5764,-99.035
Philippines,Davao,,1632991,7.11,125.63
Spain,Barcelona,,1620576,41.3833,2.1834
Ecuador,Quito,,1619146,-0.215,-78.5001
United States of America,Phoenix,AZ,1615017,33.5722,-112.0891
Iran (Islamic Republic of),Karaj,,1614626,35.8004,50.97
China,Tianmen,,1613739,30.6536,113.1218
China,Suzhou,Anhui,1601181,33.6361,116.9789
Mexico,Guadalajara,,1600894,20.67,-103.33
Mexico,Irapuato,,1600894,20.67,-101.5
China,Suizhou,,1598752,31.697,113.3837
China,Nanyang,,1584715,33.0004,112.53
Philippines,Caloocan,,1583978,14.6492,120.9826
United States of America,Philadelphia,PA,1567872,40.0076,-75.134
China,Ningbo,,1567499,29.88,121.55
Iran (Islamic Republic of),Shiraz,,1565572,29.63,52.57
China,Luan,,1559037,31.7503,116.48
Iran (Islamic Republic of),Tabriz,,1558693,38.0863,46.3012
China,Anshan,,1556285,41.115,122.94
Indonesia,Semarang,,1555984,-6.9666,110.42
Republic of Korea,Daejeon,Taejon,1552153,36.3355,127.425
China,Tengzhou,,1548817,35.086,117.1244
Japan,Kobe,,1544200,34.68,135.17
