Group,Sample ID,Samp m [g],UTM east [m],UTM north [m],Longitude,Latitude,Samp type,Depth [m] (min),Depth [m] (max),Cond electr [µS/cm],pH,Al [mg/kg],As [mg/kg],B [mg/kg],Ba [mg/kg],Be [mg/kg],Ca [mg/kg],Cd [mg/kg],Ce [mg/kg],Co [mg/kg],Cr [mg/kg],Cu [mg/kg],Fe [mg/kg],Ga [mg/kg],Gd [mg/kg],Ge [mg/kg],K [mg/kg],La [mg/kg],Mg2+ [mg/kg],Mn [mg/kg],Mo [mg/kg],Na [mg/kg],Nb [mg/kg],Nd [mg/kg],Ni [mg/kg],P [mg/kg],Pb [mg/kg],S [mg/kg],Sc [mg/kg],Si [mg/kg],Sr [mg/kg],Th [mg/kg],Ti [mg/kg],V [mg/kg],Y [mg/kg],Zn [mg/kg],Zr [mg/kg]
2,1,0.298,391829,6465512,115.8556,-31.94118,Soil,0,0.05,87.2,8.14,2748.64879,,3.77662,38.94834,0.063,5124.81229,0.07991,3.2815,,5.87095,15.45308,4218.163589,,0.31832,0.56386,142.21132,1.80251,425.59826,40.17311,0.29639,60.93824,6.90421,0.90813,1.81422,212.94075,54.08483,297.75566,0.40634,529.5958,19.35767,0.86816,87.04485,10.52761,1.45981,86.94802,0.60189
2,2,0.301,391846,6465507,115.8557,-31.94123,Soil,0,0.05,440,7.88,4800.341398,2.13016,22.80366,56.83161,0.08565,20168.0283,0.22578,4.45421,1.10249,12.39514,29.03406,6066.503464,,0.46859,1.52413,715.97797,2.95013,2014.91604,74.07548,0.88194,483.31593,10.41094,,3.07542,877.3147,107.03383,1402.65255,0.43943,643.64549,86.69856,0.67266,119.97121,15.9948,2.90398,170.67492,1.28282
2,3,0.303,391861,6465507,115.8559,-31.94123,Soil,0,0.05,43.5,8.63,6015.519067,1.52933,,51.11744,0.14171,6836.04456,0.35019,8.94234,2.551,12.14181,28.86469,8002.315084,,0.80225,0.71637,368.39224,4.57861,989.49807,119.90369,0.73169,108.75702,19.61385,2.32627,4.58052,809.71652,164.13685,690.37183,0.67133,706.37305,27.44573,0.62816,245.42913,18.35315,3.64837,285.84937,0.24224
2,4,0.3,391866,6465508,115.8559,-31.94122,Soil,0,0.05,95.8,6.27,4653.501959,,,24.23013,0.1315,2573.30705,0.12146,9.8527,1.71607,8.72198,15.15151,5704.742184,,0.80022,0.44752,326.89904,4.91153,451.11004,66.128,0.46939,145.8153,13.14401,3.47971,2.99445,414.53665,75.8356,370.68227,0.6921,698.6577,12.04267,1.21796,165.54024,14.41724,3.14036,68.78715,0.60334
2,5,0.305,391870,6465503,115.856,-31.94127,Soil,0,0.05,136.8,8.64,6000.045793,,8.68227,54.44971,0.22721,9129.54192,0.21487,13.56227,2.68753,12.17635,22.44521,9544.278295,1.86401,1.222,1.24959,394.56488,6.95405,989.74581,101.26376,0.744,521.63896,12.71116,3.75202,4.98096,462.89951,166.96757,513.21461,0.90352,841.43182,46.38846,1.10683,147.91084,19.44385,4.47361,164.25554,0.87354
2,6,0.302,391896,6465492,115.8563,-31.94137,Soil,0,0.05,110.4,7.54,4108.656291,,4.76033,26.23305,0.09136,4881.38563,0.15916,7.96254,0.76881,9.30179,33.41141,4405.785033,0.36654,0.48555,0.69457,453.01113,3.65275,628.09018,54.8227,0.49014,174.94752,8.42306,2.41909,2.81835,576.40606,75.57017,699.10118,0.51868,661.24476,23.73651,0.97355,103.74572,13.71994,2.8,146.48642,0.83015
2,7,0.302,391896,6465486,115.8563,-31.94142,Soil,0,0.05,78.8,8.68,2008.622771,4.70398,,7.95678,0.03667,8859.84048,0.05256,2.91886,,9.0768,9.15211,2339.496434,,0.34328,0.72207,167.92457,1.76187,506.07101,21.02046,0.23559,103.14905,4.58072,,1.1068,264.03532,20.4474,351.02473,0.27372,512.5498,52.56954,0.66822,55.42542,10.96244,1.24963,58.26137,0.37541
2,8,0.3,391909,6465475,115.8564,-31.94153,Soil,0,0.05,434,7.55,2022.949352,,,,0.02625,970.00357,0.02675,1.58239,0.86103,9.69605,3.49137,2445.588646,,0.18095,,147.02837,0.89869,221.61804,19.92424,0.21375,65.54413,5.40774,,1.44929,179.38223,5.72553,265.29542,0.21821,409.94536,5.16144,0.70714,65.03832,14.20883,0.78155,23.20137,0.46529
2,9,0.3,391959,6465452,115.8569,-31.94174,Soil.wetland,0,0.05,37.2,8.52,3963.339885,2.04259,,54.32389,0.08273,2555.74046,0.12759,4.62113,2.27381,8.28331,38.65326,10164.80352,1.74171,0.32235,0.47772,145.55856,2.27787,294.75438,46.1881,0.59229,90.70483,10.49524,0.69868,6.59353,201.29593,182.45464,187.96761,0.40312,577.18989,16.20447,1.75118,127.45215,9.63118,1.21961,122.18163,1.27388
2,10,0.3,391956,6465449,115.8569,-31.94176,Soil.wetland,0,0.05,19.17,7.4,25207.91591,6.40928,,206.86816,1.16346,6453.19641,0.47038,54.62155,14.81094,25.9429,113.90357,33545.23578,18.74204,3.81082,2.15162,622.95761,20.91501,2807.54494,214.26628,1.04614,236.76357,6.02478,15.97355,17.59714,495.58699,428.51003,408.62193,5.45672,1674.10093,33.9314,11.30821,43.24851,42.59896,13.38176,356.03848,2.61071
