"logKow","logKoc","errorbar"
3.361418419,5.873262032,0.503787879
3.979950089,5.723529412,0.441399287
4.069972193,6.185204991,0.276069519
4.183209982,6.372370766,0.322860963
4.45008675,6.606327986,0.316622103
4.880658824,6.210160428,0.265151515
4.901011052,6.300623886,0.313502674
5.160545692,6.668716578,0.241755793
5.612863696,6.72486631,0.304144385
6.041854783,6.933868093,0.556818182
6.061623292,7.554634581,0.595811052
6.603360665,7.41426025,0.329099822
