Easting,Northing
313667.4541,5426109.531
313703.5885,5426124.651
313741.9727,5426188.718
313764.2611,5426204.306
313860.4501,5426264.085
313891.5186,5426288.713
313931.7599,5426362.056
313962.7157,5426389.023
313991.4185,5426462.755
NA,NA
314045.3418,5426395.568
313999.4166,5426296.739
313965.5351,5426234.854
313970.4884,5426227.683
313897.7175,5426064.397
313848.4707,5425986.69
313812.6742,5425964.556
313769.6167,5425949.67
313702.3559,5425958.947
313631.4935,5425947.335
313601.2135,5425906.338
313627.9499,5425877.421
313660.7628,5425913.663
313683.8396,5425912.883
313701.7379,5425923.951
313741.0812,5425920.286
313796.5783,5425916.076
313856.0149,5425925.739
313910.8909,5425982.246
313925.8056,5426007.421
313948.5445,5426013.655
313947.9812,5426025.347
313940.4949,5426037.272
313956.1402,5426095.104
313990.7555,5426093.934
314001.956,5426100.559
313998.9724,5426114.667
313984.4504,5426129.164
313988.5026,5426140.7
314029.703,5426146.31
314044.3376,5426129.475
314045.5768,5426103.754
314001.8466,5426007.185
313969.0916,5425921.917
313963.1824,5425901.107
313940.894,5425885.519
313906.9546,5425872.66
313882.6966,5425850.135
313834.7437,5425793.395
313818.1972,5425754.268
313766.0216,5425737.356
313755.835,5425709.687
313786.5108,5425694.644
313822.5326,5425712.102
313862.8318,5425736.419
313902.9604,5425812.099
313949.3942,5425852.55
313993.9708,5425883.725
314015.6959,5425911.004
314025.2067,5425952.703
314068.7116,5426053.948
314109.6867,5426064.236
314147.6235,5426041.943
314106.7642,5425933.605
314105.6957,5425907.962
314118.1353,5425888.866
314142.1134,5425869.38
314141.3828,5425836.723
314147.2373,5425810.846
314157.2566,5425794.166
314185.512,5425781.539
314195.644,5425762.521
314216.5805,5425806.168
314213.0337,5425831.967
314195.0775,5425869.925
314241.846,5425999.073
314168.618,5426036.565
314113.6809,5426124.796
314224.3372,5426123.391
314225.0131,5426109.361
314239.3098,5426099.54
314262.6119,5426094.084
314280.3428,5426060.802
314313.5516,5426041.004
314356.9471,5426048.875
314414.1339,5426009.591
314414.0792,5425962.904
314417.7387,5425934.767
314432.486,5425915.593
314428.3792,5425857.37
314485.9587,5425857.758
314506.052,5425871.086
314546.4091,5425846.377
314573.596,5425808.107
314620.5383,5425790.18
314670.0136,5425767.497
314727.651,5425718.86
314706.9366,5425766.249
314672.9392,5425802.415
314611.8129,5425827.826
314590.2552,5425844.895
314586.7083,5425870.694
314541.8485,5425893.221
314523.049,5425900.859
314476.7826,5425904.758
314444.9803,5425943.184
314453.0846,5425966.254
314454.6037,5425982.544
314482.0707,5425986.285
314491.6941,5426025.645
314506.5508,5426099.845
314526.6988,5426159.86
314495.4871,5426209.938
314479.7566,5426177.788
314471.6523,5426154.717
314421.2211,5426149.418
314372.985,5426146.38
314325.8175,5426168.984
314308.3119,5426197.589
314284.8971,5426205.384
314254.6718,5426211.074
314239.9245,5426230.248
314249.0973,5426278.962
314234.688,5426291.121
314220.1112,5426258.931
314197.7103,5426245.682
314134.1636,5426273.509
314062.2874,5426282.942
314045.5703,5426295.179
314040.617,5426302.35
314067.2375,5426371.483
NA,NA
