name	alt_name_or_state
Tashkent	NA
Tashkent	NA
Zhongshan	NA
Jaipur	NA
Houston	TX
Houston	TX
Nagoya	NA
Guayaquil	NA
Bandung	NA
Brisbane	NA
Greater_Brisbane	NA
Nagoya	NA
Houston	TX
Baku	NA
Guayaquil	NA
Paris	NA
Houston	TX
Greater_Brisbane	NA
Baku	NA
Paris	NA
Giza	NA
Nagoya	NA
Baku	NA
Paris	NA
Brisbane	NA
Houston	TX
Paris	NA
La_Habana	NA
La_Habana	NA
Nagoya	NA
La_Habana	NA
Greater_Brisbane	NA
Nagoya	NA
La_Habana	NA
Lucknow	NA
Medellín	NA
Brisbane	NA
La_Habana	NA
Quezon_City	NA
Nagoya	NA
Kano	NA
Baku	NA
La_Habana	NA
Houston	TX
La_Habana	NA
Greater_Brisbane	NA
La_Habana	NA
Brisbane	NA
La_Habana	NA
Tashkent	NA
Baku	NA
Nanhai	NA
La_Habana	NA
La_Habana	NA
La_Habana	NA
La_Habana	NA
Paris	NA
La_Habana	NA
Fuzhou	Fujian
Changsha	NA
La_Habana	NA
La_Habana	NA
La_Habana	NA
Caracas	NA
Houston	TX
Brisbane	NA
Rawalpindi	NA
Medan	NA
Lanzhou	NA
Dodoma	NA
Caracas	NA
Baku	NA
Brisbane	NA
Xiamen	NA
Baku	NA
Nagpur	NA
Baku	NA
Brisbane	NA
Cali	NA
Medan	NA
Gujranwala	NA
Chittagong	NA
Greater_Perth	NA
Jiddah	NA
Houston	TX
Faisalabad	Lyallpur
Brisbane	NA
Zaozhuang	NA
Perth	NA
Minsk	NA
Brisbane	NA
Caracas	NA
Minsk	NA
Greater_Perth	NA
Peshawar	NA
Shijiazhuang	NA
Esfahan	NA
Perth	NA
Houston	TX
Jilin	NA
Sapporo	NA
Minsk	NA
Brisbane	NA
Perth	NA
Bucuresti	NA
Bucuresti	NA
Bucuresti	NA
Linyi	NA
Bucuresti	NA
Bucuresti	NA
Bucuresti	NA
Bucuresti	NA
Abidjan	NA
Baku	NA
Bucuresti	NA
Bucuresti	NA
Bucuresti	NA
Wenzhou	NA
Sapporo	NA
Bucuresti	NA
Minsk	NA
Douala	NA
Baku	NA
Perth	NA
Greater_Perth	NA
Minsk	NA
Wien	NA
Bucuresti	NA
Sapporo	NA
Minsk	NA
Perth	NA
Multan	NA
Bucuresti	NA
Wien	NA
Bucuresti	NA
Sapporo	NA
Brisbane	NA
Puning	NA
Minsk	NA
Sapporo	NA
Bucuresti	NA
Baku	NA
Nanchang	NA
Minsk	NA
Wien	NA
Minsk	NA
Bucuresti	NA
