Long,Lat,,City,Population (millions),Proj. Pop. 2030 (millions),Pop. 2018,Proj. Pop. 2030,,City,Dongguan,Foshan,Guangzhou,Hong Kong,Jiangmen,Macao,Shenzhen,Zhongshan,Zhuhai,TOTAL
119.3530445,25.25027657,,,,,,,,,,,,,,,,,,
118.8719196,25.24388695,,,,,,,,,,,,,,,,,,
119.0160999,24.95416451,,,,,,,,,,,,,,,,,,
118.573885,24.88416481,,,,,,,,,,,,,,,,,,
118.6227589,24.54389,,,,,,,,,,,,,,,,,,
118.2397022,24.53638649,,,,,,,,,,,,,,,,,,
118.1605396,24.68860817,,,,,,,,,,,,,,,,,,
118.0180531,24.4363842,,,,,,,,,,,,,,,,,,
117.7920246,24.46132088,,,,,,,,,,,,,,,,,,
118.1233082,24.25610924,,,,,,,,,,,,,,,,,,
116.5213795,23.42083168,,,,,,,,,,,,,,,,,,
116.7874928,23.23388481,,,,,,,,,,,,,,,,,,
116.4808216,22.93805122,,,,,,,,,,,,,,,,,,
114.2225971,22.55055046,,,,,,,,,,,,,,,,,,
114.0333309,22.50913811,,,,,,,,,,,,,,,,,,
113.5244312,23.01111031,,,,,,,,,,,,,,,,,,
113.8297138,23.11721992,,,,,,,,,,,,,,,,,,
113.4774799,23.05277824,,,,,,,,,,,,,,,,,,
113.3591557,22.88333321,,,,,,,,,,,,,,,,,,
113.5658131,22.5502758,,,,,,,,,,,,,,,,,,
113.55443,22.21273232,,,,,,,,,,,,,,,,,,
113.5316639,22.19473839,,,,,,,,,,,,,,,,,,
113.1652699,22.57138634,,,,,,,,,,,,,,,,,,
113.3880482,22.17666435,,,,,,,,,,,,,,,,,,
113.2991505,22.17555428,,,,,,,,,,,,,,,,,,
113.2241535,22.03750038,,,,,,,,,,,,,,,,,,
113.0863819,22.2069416,,,,,,,,,,,,,,,,,,
112.9391499,21.86860847,,,,,,,,,,,,,,,,,,
111.8924885,21.92027473,,,,,,,,,,,,,,,,,,
111.6372089,21.52111244,,,,,,,,,,,,,,,,,,
110.3982487,21.38067055,,,,,,,,,,,,,,,,,,
110.1580448,20.84555244,,,,,,,,,,,,,,,,,,
110.5291615,20.47332954,,,,,,,,,,,,,,,,,,
110.2788715,20.2461071,,,,,,,,,,,,,,,,,,
109.9244251,20.23360634,,,,,,,,,,,,,,,,,,
109.6619282,20.91888618,,,,,,,,,,,,,,,,,,
109.9410954,21.44694328,,,,,,,,,,,,,,,,,,
109.5733204,21.72332954,,,,,,,,,,,,,,,,,,
109.1427631,21.39666557,,,,,,,,,,,,,,,,,,
108.4758091,21.94027519,,,,,,,,,,,,,,,,,,
108.511385,21.58916664,,,,,,,,,,,,,,,,,,
107.9900227,21.54241371,,,,,,,,,,,,,,,,,,
106.6933155,22.03083229,,,,,,,,,,,,,,,,,,
106.7072086,22.86499977,,,,,,,,,,,,,,,,,,
105.5774784,23.05916405,,,,,,,,,,,,,,,,,,
105.3538685,23.33472252,,,,,,,,,,,,,,,,,,
103.9644337,22.49911308,,,,,,,,,,,,,,,,,,
103.3363819,22.79638863,,,,,,,,,,,,,,,,,,
103.03055,22.4355526,,,,,,,,,,,,,,,,,,
102.4797153,22.77388954,,,,,,,,,,,,,,,,,,
102.140749,22.39628792,,,,,,,,,,,,,,,,,,
101.738039,22.49694252,,,,,,,,,,,,,,,,,,
101.5744343,22.20916176,,,,,,,,,,,,,,,,,,
101.7872028,21.14416313,,,,,,,,,,,,,,,,,,
101.2819386,21.18027687,,,,,,,,,,,,,,,,,,
101.148241,21.57263756,,,,,,,,,,,,,,,,,,
101.1052647,21.7713871,,,,,,,,,,,,,,,,,,
100.2127552,21.43255424,,,,,,,,,,,,,,,,,,
99.96443367,22.04888725,,,,,,,,,,,,,,,,,,
99.16276741,22.15916252,,,,,,,,,,,,,,,,,,
99.56637764,22.93805122,,,,,,,,,,,,,,,,,,
98.92747688,23.18916512,,,,,,,,,,,,,,,,,,
98.67720222,23.96805382,,,,,,,,,,,,,,,,,,
98.89073372,24.16007042,,,,,,,,,,,,,,,,,,
97.53553963,23.93971825,,,,,,,,,,,,,,,,,,
97.75999641,24.25749779,,,,,,,,,,,,,,,,,,
97.55247688,24.74305153,,,,,,,,,,,,,,,,,,
98.71081734,25.85555458,,,,,,,,,,,,,,,,,,
98.77832222,26.63638496,,,,,,,,,,,,,,,,,,
98.69970894,27.5391674,,,,,,,,,,,,,,,,,,
98.31637764,27.5419445,,,,,,,,,,,,,,,,,,
97.80664253,28.34416389,,,,,,,,,,,,,,,,,,
97.55525398,28.54805565,,,,,,,,,,,,,,,,,,
97.34887886,28.2227726,,,,,,,,,,,,,,,,,,
96.40193367,28.35111046,,,,,,,,,,,,,,,,,,
96.61581612,28.79027748,,,,,,,,,,,,,,,,,,
96.4708271,29.05666542,,,,,,,,,,,,,,,,,,
96.16914558,28.90360832,,,,,,,,,,,,,,,,,,
96.39526558,29.25527763,,,,,,,,,,,,,,,,,,
96.07748604,29.46860695,,,,,,,,,,,,,,,,,,
95.38777351,29.03527641,,,,,,,,,,,,,,,,,,
94.64750862,29.33345985,,,,,,,,,,,,,,,,,,
92.54498482,27.86194038,,,,,,,,,,,,,,,,,,
91.65776253,27.76472282,,,,,,,,,,,,,,,,,,
91.30137825,28.08111,,,,,,,,,,,,,,,,,,
90.4663868,28.07166481,,,,,,,,,,,,,,,,,,
90.01748848,28.32527733,,,,,,,,,,,,,,,,,,
89.5902729,28.14333153,,,,,,,,,,,,,,,,,,
88.91772652,27.32032585,,,,,,,,,,,,,,,,,,
88.83166695,28.01333427,,,,,,,,,,,,,,,,,,
88.14279366,27.86605644,,,,,,,,,,,,,,,,,,
