ICP.Seq.No,Group,Sample,Type,Easting,Northing,Longitude,Latitude,Reserve,Zone3,pH,EC,Al,As,Ba,Ca,Cd,Ce,Cr,Cu,Fe,Gd,K,La,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,S,Sr,Th,V,Y,Zn,Ca.lo.hi,Dist.Albert.m,Dist.Barrett.N.m,Dist.Barrett.Mid.m,Dist.Barrett.S.m,Dist.Bourke.m,Dist.Kayle.N.m,Dist.Kayle.S.m,Dist.Emmerson.E.m,Dist.Emmerson.W.m,Dist.Charles.m,Min.dist.street.m,Street50,Street20,pH.old,EC.µS.cm.log,Al.pow,As.pow,Ba.log,Ca.pow,Cd.log,Ce.log,Cr.pow,Cu.pow,Fe.pow,Gd.pow,K.log,La.log,Mg.log,Mn.pow,Mo.pow,Na.pow,Nd.pow,Ni.log,P.log,Pb.pow,S.pow,Sr.pow,Th.pow,V.pow,Y.pow,Zn.log
ENVT_AR_TA_19,4,7,Soil,391395,6466693,115.8510975,-31.9304898,Veryard,Veryard_E,6.28,NA,2532,1.77,6.2,470,0.03,3.71,8.45,2.84,1756,0.65,49,1.28,114,8.67,0.12,42.6,2.11,1.13,77.6,4.96,102.73,2.48,1.02,6.39,1.07,24.08,low.Ca,72.1,343,335.8,323.2,159.4,25,13.9,453,356.9,138.2,13.9,lt.50,lt.20,6.28,NA,38.12845746,-0.753321674,0.792391689,-0.252339071,-1.522878745,0.56937391,2.115530985,0.517367715,-0.023369697,-1.24066798,1.69019608,0.10720997,2.056904851,2.034766042,-2.49703928,-0.251029929,1.402700038,0.053078443,1.889861721,-0.61506542,-0.137082452,-0.777353483,-0.98976527,-0.687143079,-0.977390882,1.381656483
ENVT_AR_TA_20,4,8,Soil,391363,6466703,115.8507602,-31.93039654,Veryard,Veryard_E,6.84,NA,2318,2.07,10.92,1342,0.08,4.77,7.27,9.51,2438,0.4,90.9,2.03,265.74,17.26,0.19,103.9,2.02,1.31,162.9,23.3,178.42,6.28,0.65,4.41,1.23,53.86,low.Ca,62.3,311,308.6,291.2,169.7,57,16.5,462.9,344.7,170.1,16.5,lt.50,lt.20,6.84,NA,36.59583833,-0.697023004,1.038222638,-0.19953036,-1.096910013,0.678518379,2.00671054,0.241229125,-0.019815245,-1.582008339,1.958563883,0.307496038,2.424456931,2.551894502,-2.04781135,-0.180750219,1.375261359,0.117271296,2.211921084,-0.384598404,-0.108175951,-0.600794282,-1.25081048,-0.740679071,-0.932421056,1.731266349
ENVT_AR_FA_29,5,p15s2,Soil,391094.9,6466630,115.8479163,-31.93102931,Veryard,Veryard_W,6.77,177.1,3181,3.27,20.41,1984,0.05,5.07,8.98,3.98,3123,0.37,211.4,1.91,395.34,55.87,0.32,170.2,1.85,2.07,302.5,9.61,353.48,11.67,NA,5.67,3.22,21.44,low.Ca,136.8,42.8,31.2,23,99.3,325.1,291.9,389.5,120.2,439,23,lt.50,gt.20,6.77,2.248218561,42.39270028,-0.555562419,1.309843005,-0.182814305,-1.301029996,0.705007959,2.161201806,0.418086632,-0.017495615,-1.64497089,2.325104983,0.281033367,2.596970758,3.755320993,-1.635224063,-0.150700433,1.321545826,0.315970345,2.480725379,-0.503203267,-0.080677323,-0.505942604,NA,-0.703963509,-0.673511034,1.331224781
ENVT_AR_FA_27,5,p16s1,Soil,391159.8,6466606,115.8486001,-31.93125202,Veryard,Veryard_W,7.28,575,2126,2.05,27.39,9689,0.1,3.48,5.68,8.61,2757,0.35,230.7,1.54,1061.7,32.44,0.31,410.4,0.94,2.21,531.2,19.98,797.93,52.97,NA,5.11,2.17,51.97,high.Ca,160.4,107.7,85.2,87.9,74.7,260.2,230.7,365.6,142,374.4,74.7,gt.50,gt.20,7.28,2.759667845,35.15490193,-0.700388343,1.437592032,-0.128194906,-1,0.541579244,1.840143537,0.256855928,-0.018627235,-1.691373559,2.363047595,0.187520721,3.026001817,3.14046885,-1.657785333,-0.108966854,0.972347593,0.344392274,2.725258066,-0.402966804,-0.056892773,-0.33260325,NA,-0.718929744,-0.769620469,1.715752717
ENVT_AR_FA_28,5,p16s2,Soil,391154.3,6466650,115.8485468,-31.93085461,Veryard,Veryard_W,7.14,72.5,2424,1.71,12.67,1519,0.09,4.27,5.58,3.48,2146,0.36,150.4,1.75,255.02,62.76,0.2,101.5,1.23,2.29,214.2,10.47,234.58,9.34,NA,4.21,1.58,14.76,low.Ca,116.4,102.2,93.9,82.4,118.7,265.7,230.3,409.6,172.9,379.4,82.4,gt.50,gt.20,7.14,1.860338007,37.36404214,-0.766320828,1.102776615,-0.194074006,-1.045757491,0.630427875,1.828703379,0.455067861,-0.021127912,-1.667688631,2.177247836,0.243038049,2.406574241,3.901736328,-2.002974655,-0.182313114,1.098360729,0.359835482,2.330819466,-0.490282263,-0.096193376,-0.538174122,NA,-0.747666173,-0.856749589,1.169086357
ENVT_AR_FA_26,5,p17s1,Soil,391171.1,6466645,115.848724,-31.93090132,Veryard,Veryard_W,6.72,145.6,2291,1.73,15.53,1813,0.05,3.49,5.09,3.75,2105,0.45,207.1,1.2,469.12,63.98,0.36,153.5,1.27,2.52,318.1,8.89,468.36,8.96,NA,3.84,1.75,25.84,low.Ca,121.3,119,108.2,99.2,113.5,248.9,214.3,404.6,179.5,362.6,99.2,gt.50,gt.20,6.72,2.163161375,36.39717329,-0.761912903,1.191171456,-0.186539398,-1.301029996,0.542825427,1.770633242,0.434097928,-0.021333831,-1.491426363,2.316180099,0.079181246,2.671283949,3.926521223,-1.554174721,-0.156544449,1.114407038,0.401400541,2.502563669,-0.51523851,-0.071502507,-0.544408615,NA,-0.761710239,-0.827662235,1.412292509
ENVT_AR_FA_31,5,p17s2,Soil,391175,6466608,115.8487611,-31.93123544,Veryard,Veryard_W,7.24,162.2,2899,1.98,11.6,2090,0.03,3.2,6.91,2.65,1807,0.21,237.8,1.17,343.45,18.7,0.18,142.9,0.93,1.14,214.7,5.19,311.91,10.39,0.68,4.13,1.06,21.83,low.Ca,158.3,122.9,100.2,103.1,76.5,245,215.4,367.6,153.1,359.2,76.5,gt.50,gt.20,7.24,2.21005085,40.60322417,-0.712564856,1.064457989,-0.180697133,-1.522878745,0.505149978,1.971245625,0.540487249,-0.023035701,-2.184223227,2.37621185,0.068185862,2.535863521,2.620044722,-2.096159795,-0.160725996,0.967645926,0.056904851,2.331832044,-0.60666188,-0.085125844,-0.522507476,-1.221832351,-0.750573634,-0.980497786,1.339053736
ENVT_AR_FA_24,5,p18s1,Soil,391260.2,6466616,115.8496631,-31.93117144,Veryard,Veryard_W,7.14,150.2,2831,2.49,19.92,1744,0.09,5.09,7.56,6.64,2907,0.43,261.9,1.89,573.8,65.12,0.26,172.6,1.79,3.05,422.2,20.07,509.74,9.85,NA,5.47,2.55,44.02,low.Ca,149.9,208.1,183.6,188.3,83.7,159.8,129.9,375.7,212.5,273.9,83.7,gt.50,gt.20,7.14,2.176669933,40.15792491,-0.635982995,1.299289334,-0.188166323,-1.045757491,0.706717782,2.034459283,0.302640854,-0.018137601,-1.525758124,2.418135498,0.276461804,2.758760544,3.949395832,-1.788535246,-0.14992504,1.301946066,0.484299839,2.625518229,-0.402417513,-0.068952085,-0.530298176,NA,-0.70909621,-0.728768209,1.643650038
ENVT_AR_FA_25,5,p18s2,Soil,391248.9,6466653,115.8495478,-31.93083662,Veryard,Veryard_W,6.82,152,1985,1.79,15.59,1795,0.09,3.6,5.16,5.41,2061,0.31,220,1.56,416.1,55.85,0.15,226.5,1.58,2.27,301.4,11.27,458.49,8.9,NA,3.9,1.88,51.83,low.Ca,112.9,196.8,184.6,177,120.8,171.1,136.2,412.7,234.4,284.8,112.9,gt.50,gt.20,6.82,2.181843588,34.05175762,-0.749134178,1.192846115,-0.186956417,-1.045757491,0.556302501,1.77914486,0.344428367,-0.02156163,-1.797315568,2.342422681,0.193124598,2.619197716,3.754878797,-2.267770036,-0.13564159,1.230357701,0.356025857,2.479143248,-0.479447537,-0.072158831,-0.545423883,NA,-0.75932488,-0.807857287,1.714581209
ENVT_AR_FA_39,6,1,Soil,391314,6466637,115.8502345,-31.93098717,Veryard,Veryard_E,6.02,132.1,2514,1.91,10.03,1481,0.07,4.93,6.39,3.62,2064,0.36,228.1,1.89,310.47,33.51,0.21,154.1,1.35,5.11,200.1,10.57,292.84,8.63,0.48,4.27,1.63,41.99,low.Ca,128.6,261.9,241.3,242.1,104.2,106,73.7,396.8,262.5,219.8,73.7,gt.50,gt.20,6.02,2.120902818,38.00228459,-0.725402999,1.001300933,-0.195177512,-1.15490196,0.692846919,1.917835491,0.44387597,-0.021545867,-1.667688631,2.358125285,0.276461804,2.492019642,3.17416771,-1.961237336,-0.156319626,1.145690373,0.7084209,2.301247089,-0.488869836,-0.087461226,-0.550103244,-1.464182383,-0.745528827,-0.847774969,1.623145875
